protein_xref_1	protein_xref_2	alternative_identifiers_1	alternative_identifiers_2	protein_alias_1	protein_alias_2	detection_method	author_name	pmid	protein_taxid_1	protein_taxid_2	interaction_type	source_database_id	database_identifier	confidence
uniprotkb:P10145	uniprotkb:P9WMN3	intact:EBI-3917999|uniprotkb:Q9UCS0|uniprotkb:Q9UCR8|uniprotkb:Q9C077|uniprotkb:Q6FGF6|uniprotkb:Q96RG6|uniprotkb:B2R4L8|uniprotkb:Q9UCE1|uniprotkb:Q9UCR9|uniprotkb:Q6LAE6	intact:EBI-11740532|uniprotkb:L0T872|uniprotkb:P96382|uniprotkb:Q7D8Z8	psi-mi:il8_human(display_long)|uniprotkb:Protein 3-10C(gene name synonym)|uniprotkb:T-cell chemotactic factor(gene name synonym)|uniprotkb:CXCL8(gene name)|psi-mi:CXCL8(display_short)|uniprotkb:C-X-C motif chemokine 8(gene name synonym)|uniprotkb:Chemokine (C-X-C motif) ligand 8(gene name synonym)|uniprotkb:Emoctakin(gene name synonym)|uniprotkb:Granulocyte chemotactic protein 1(gene name synonym)|uniprotkb:IL8(gene name synonym)|uniprotkb:Monocyte-derived neutrophil chemotactic factor(gene name synonym)|uniprotkb:Monocyte-derived neutrophil-activating peptide(gene name synonym)|uniprotkb:Neutrophil-activating protein 1(gene name synonym)	psi-mi:glmu_myctu(display_long)|uniprotkb:glmU(gene name)|psi-mi:glmU(display_short)|uniprotkb:Rv1018c(locus name)	psi-mi:MI:0004(affinity chromatography technology)	Dziadek et al. (2015)	pubmed:26829648|imex:IM-26081	9606	83332	psi-mi:MI:0914(association)	psi-mi:MI:1335(HPIDb)	intact:EBI-11740465|imex:IM-26081-1	intact-miscore:0.60
uniprotkb:P10145	uniprotkb:P9WGV3	intact:EBI-3917999|uniprotkb:Q9UCS0|uniprotkb:Q9UCR8|uniprotkb:Q9C077|uniprotkb:Q6FGF6|uniprotkb:Q96RG6|uniprotkb:B2R4L8|uniprotkb:Q9UCE1|uniprotkb:Q9UCR9|uniprotkb:Q6LAE6	intact:EBI-11740468|uniprotkb:L0TBZ4|uniprotkb:O08364|uniprotkb:P60176|uniprotkb:P81858	psi-mi:il8_human(display_long)|uniprotkb:Protein 3-10C(gene name synonym)|uniprotkb:T-cell chemotactic factor(gene name synonym)|uniprotkb:CXCL8(gene name)|psi-mi:CXCL8(display_short)|uniprotkb:C-X-C motif chemokine 8(gene name synonym)|uniprotkb:Chemokine (C-X-C motif) ligand 8(gene name synonym)|uniprotkb:Emoctakin(gene name synonym)|uniprotkb:Granulocyte chemotactic protein 1(gene name synonym)|uniprotkb:IL8(gene name synonym)|uniprotkb:Monocyte-derived neutrophil chemotactic factor(gene name synonym)|uniprotkb:Monocyte-derived neutrophil-activating peptide(gene name synonym)|uniprotkb:Neutrophil-activating protein 1(gene name synonym)	psi-mi:sahh_myctu(display_long)|uniprotkb:ahcY(gene name)|psi-mi:ahcY(display_short)|uniprotkb:sahH(gene name synonym)|uniprotkb:MTCY20B11.23c(orf name)|uniprotkb:Rv3248c(locus name)|uniprotkb:S-adenosyl-L-homocysteine hydrolase(gene name synonym)	psi-mi:MI:0107(surface plasmon resonance)	Dziadek et al. (2015)	pubmed:26829648|imex:IM-26081	9606	83332	psi-mi:MI:0407(direct interaction)	psi-mi:MI:1335(HPIDb)	intact:EBI-11740635|imex:IM-26081-13	intact-miscore:0.60
uniprotkb:P10145	uniprotkb:Q6MX51	intact:EBI-3917999|uniprotkb:Q9UCS0|uniprotkb:Q9UCR8|uniprotkb:Q9C077|uniprotkb:Q6FGF6|uniprotkb:Q96RG6|uniprotkb:B2R4L8|uniprotkb:Q9UCE1|uniprotkb:Q9UCR9|uniprotkb:Q6LAE6	intact:EBI-11740572|uniprotkb:F2GMA0|uniprotkb:I6WY25|uniprotkb:L0T380	psi-mi:il8_human(display_long)|uniprotkb:Protein 3-10C(gene name synonym)|uniprotkb:T-cell chemotactic factor(gene name synonym)|uniprotkb:CXCL8(gene name)|psi-mi:CXCL8(display_short)|uniprotkb:C-X-C motif chemokine 8(gene name synonym)|uniprotkb:Chemokine (C-X-C motif) ligand 8(gene name synonym)|uniprotkb:Emoctakin(gene name synonym)|uniprotkb:Granulocyte chemotactic protein 1(gene name synonym)|uniprotkb:IL8(gene name synonym)|uniprotkb:Monocyte-derived neutrophil chemotactic factor(gene name synonym)|uniprotkb:Monocyte-derived neutrophil-activating peptide(gene name synonym)|uniprotkb:Neutrophil-activating protein 1(gene name synonym)	psi-mi:q6mx51_myctu(display_long)|uniprotkb:Rv0296c(locus name)	psi-mi:MI:0007(anti tag coimmunoprecipitation)	Dziadek et al. (2015)	pubmed:26829648|imex:IM-26081	9606	83332	psi-mi:MI:0407(direct interaction)	psi-mi:MI:1335(HPIDb)	intact:EBI-11740598|imex:IM-26081-3	intact-miscore:0.60
uniprotkb:P10145	uniprotkb:P9WGV3	intact:EBI-3917999|uniprotkb:Q9UCS0|uniprotkb:Q9UCR8|uniprotkb:Q9C077|uniprotkb:Q6FGF6|uniprotkb:Q96RG6|uniprotkb:B2R4L8|uniprotkb:Q9UCE1|uniprotkb:Q9UCR9|uniprotkb:Q6LAE6	intact:EBI-11740468|uniprotkb:L0TBZ4|uniprotkb:O08364|uniprotkb:P60176|uniprotkb:P81858	psi-mi:il8_human(display_long)|uniprotkb:Protein 3-10C(gene name synonym)|uniprotkb:T-cell chemotactic factor(gene name synonym)|uniprotkb:CXCL8(gene name)|psi-mi:CXCL8(display_short)|uniprotkb:C-X-C motif chemokine 8(gene name synonym)|uniprotkb:Chemokine (C-X-C motif) ligand 8(gene name synonym)|uniprotkb:Emoctakin(gene name synonym)|uniprotkb:Granulocyte chemotactic protein 1(gene name synonym)|uniprotkb:IL8(gene name synonym)|uniprotkb:Monocyte-derived neutrophil chemotactic factor(gene name synonym)|uniprotkb:Monocyte-derived neutrophil-activating peptide(gene name synonym)|uniprotkb:Neutrophil-activating protein 1(gene name synonym)	psi-mi:sahh_myctu(display_long)|uniprotkb:ahcY(gene name)|psi-mi:ahcY(display_short)|uniprotkb:sahH(gene name synonym)|uniprotkb:MTCY20B11.23c(orf name)|uniprotkb:Rv3248c(locus name)|uniprotkb:S-adenosyl-L-homocysteine hydrolase(gene name synonym)	psi-mi:MI:0004(affinity chromatography technology)	Dziadek et al. (2015)	pubmed:26829648|imex:IM-26081	9606	83332	psi-mi:MI:0914(association)	psi-mi:MI:1335(HPIDb)	intact:EBI-11740465|imex:IM-26081-1	intact-miscore:0.60
uniprotkb:P10145	uniprotkb:Q6MX51	intact:EBI-3917999|uniprotkb:Q9UCS0|uniprotkb:Q9UCR8|uniprotkb:Q9C077|uniprotkb:Q6FGF6|uniprotkb:Q96RG6|uniprotkb:B2R4L8|uniprotkb:Q9UCE1|uniprotkb:Q9UCR9|uniprotkb:Q6LAE6	intact:EBI-11740572|uniprotkb:F2GMA0|uniprotkb:I6WY25|uniprotkb:L0T380	psi-mi:il8_human(display_long)|uniprotkb:Protein 3-10C(gene name synonym)|uniprotkb:T-cell chemotactic factor(gene name synonym)|uniprotkb:CXCL8(gene name)|psi-mi:CXCL8(display_short)|uniprotkb:C-X-C motif chemokine 8(gene name synonym)|uniprotkb:Chemokine (C-X-C motif) ligand 8(gene name synonym)|uniprotkb:Emoctakin(gene name synonym)|uniprotkb:Granulocyte chemotactic protein 1(gene name synonym)|uniprotkb:IL8(gene name synonym)|uniprotkb:Monocyte-derived neutrophil chemotactic factor(gene name synonym)|uniprotkb:Monocyte-derived neutrophil-activating peptide(gene name synonym)|uniprotkb:Neutrophil-activating protein 1(gene name synonym)	psi-mi:q6mx51_myctu(display_long)|uniprotkb:Rv0296c(locus name)	psi-mi:MI:0107(surface plasmon resonance)	Dziadek et al. (2015)	pubmed:26829648|imex:IM-26081	9606	83332	psi-mi:MI:0407(direct interaction)	psi-mi:MI:1335(HPIDb)	intact:EBI-11740629|imex:IM-26081-11	intact-miscore:0.60
uniprotkb:P10145	uniprotkb:P9WGV3	intact:EBI-3917999|uniprotkb:Q9UCS0|uniprotkb:Q9UCR8|uniprotkb:Q9C077|uniprotkb:Q6FGF6|uniprotkb:Q96RG6|uniprotkb:B2R4L8|uniprotkb:Q9UCE1|uniprotkb:Q9UCR9|uniprotkb:Q6LAE6	intact:EBI-11740468|uniprotkb:L0TBZ4|uniprotkb:O08364|uniprotkb:P60176|uniprotkb:P81858	psi-mi:il8_human(display_long)|uniprotkb:Protein 3-10C(gene name synonym)|uniprotkb:T-cell chemotactic factor(gene name synonym)|uniprotkb:CXCL8(gene name)|psi-mi:CXCL8(display_short)|uniprotkb:C-X-C motif chemokine 8(gene name synonym)|uniprotkb:Chemokine (C-X-C motif) ligand 8(gene name synonym)|uniprotkb:Emoctakin(gene name synonym)|uniprotkb:Granulocyte chemotactic protein 1(gene name synonym)|uniprotkb:IL8(gene name synonym)|uniprotkb:Monocyte-derived neutrophil chemotactic factor(gene name synonym)|uniprotkb:Monocyte-derived neutrophil-activating peptide(gene name synonym)|uniprotkb:Neutrophil-activating protein 1(gene name synonym)	psi-mi:sahh_myctu(display_long)|uniprotkb:ahcY(gene name)|psi-mi:ahcY(display_short)|uniprotkb:sahH(gene name synonym)|uniprotkb:MTCY20B11.23c(orf name)|uniprotkb:Rv3248c(locus name)|uniprotkb:S-adenosyl-L-homocysteine hydrolase(gene name synonym)	psi-mi:MI:0007(anti tag coimmunoprecipitation)	Dziadek et al. (2015)	pubmed:26829648|imex:IM-26081	9606	83332	psi-mi:MI:0407(direct interaction)	psi-mi:MI:1335(HPIDb)	intact:EBI-11740604|imex:IM-26081-5	intact-miscore:0.60
uniprotkb:P10145	uniprotkb:Q6MX51	intact:EBI-3917999|uniprotkb:Q9UCS0|uniprotkb:Q9UCR8|uniprotkb:Q9C077|uniprotkb:Q6FGF6|uniprotkb:Q96RG6|uniprotkb:B2R4L8|uniprotkb:Q9UCE1|uniprotkb:Q9UCR9|uniprotkb:Q6LAE6	intact:EBI-11740572|uniprotkb:F2GMA0|uniprotkb:I6WY25|uniprotkb:L0T380	psi-mi:il8_human(display_long)|uniprotkb:Protein 3-10C(gene name synonym)|uniprotkb:T-cell chemotactic factor(gene name synonym)|uniprotkb:CXCL8(gene name)|psi-mi:CXCL8(display_short)|uniprotkb:C-X-C motif chemokine 8(gene name synonym)|uniprotkb:Chemokine (C-X-C motif) ligand 8(gene name synonym)|uniprotkb:Emoctakin(gene name synonym)|uniprotkb:Granulocyte chemotactic protein 1(gene name synonym)|uniprotkb:IL8(gene name synonym)|uniprotkb:Monocyte-derived neutrophil chemotactic factor(gene name synonym)|uniprotkb:Monocyte-derived neutrophil-activating peptide(gene name synonym)|uniprotkb:Neutrophil-activating protein 1(gene name synonym)	psi-mi:q6mx51_myctu(display_long)|uniprotkb:Rv0296c(locus name)	psi-mi:MI:0004(affinity chromatography technology)	Dziadek et al. (2015)	pubmed:26829648|imex:IM-26081	9606	83332	psi-mi:MI:0914(association)	psi-mi:MI:1335(HPIDb)	intact:EBI-11740465|imex:IM-26081-1	intact-miscore:0.60
uniprotkb:P10145	uniprotkb:P9WMN3	intact:EBI-3917999|uniprotkb:Q9UCS0|uniprotkb:Q9UCR8|uniprotkb:Q9C077|uniprotkb:Q6FGF6|uniprotkb:Q96RG6|uniprotkb:B2R4L8|uniprotkb:Q9UCE1|uniprotkb:Q9UCR9|uniprotkb:Q6LAE6	intact:EBI-11740532|uniprotkb:L0T872|uniprotkb:P96382|uniprotkb:Q7D8Z8	psi-mi:il8_human(display_long)|uniprotkb:Protein 3-10C(gene name synonym)|uniprotkb:T-cell chemotactic factor(gene name synonym)|uniprotkb:CXCL8(gene name)|psi-mi:CXCL8(display_short)|uniprotkb:C-X-C motif chemokine 8(gene name synonym)|uniprotkb:Chemokine (C-X-C motif) ligand 8(gene name synonym)|uniprotkb:Emoctakin(gene name synonym)|uniprotkb:Granulocyte chemotactic protein 1(gene name synonym)|uniprotkb:IL8(gene name synonym)|uniprotkb:Monocyte-derived neutrophil chemotactic factor(gene name synonym)|uniprotkb:Monocyte-derived neutrophil-activating peptide(gene name synonym)|uniprotkb:Neutrophil-activating protein 1(gene name synonym)	psi-mi:glmu_myctu(display_long)|uniprotkb:glmU(gene name)|psi-mi:glmU(display_short)|uniprotkb:Rv1018c(locus name)	psi-mi:MI:0007(anti tag coimmunoprecipitation)	Dziadek et al. (2015)	pubmed:26829648|imex:IM-26081	9606	83332	psi-mi:MI:0407(direct interaction)	psi-mi:MI:1335(HPIDb)	intact:EBI-11740610|imex:IM-26081-7	intact-miscore:0.60
uniprotkb:P10145	uniprotkb:P9WMN3	intact:EBI-3917999|uniprotkb:Q9UCS0|uniprotkb:Q9UCR8|uniprotkb:Q9C077|uniprotkb:Q6FGF6|uniprotkb:Q96RG6|uniprotkb:B2R4L8|uniprotkb:Q9UCE1|uniprotkb:Q9UCR9|uniprotkb:Q6LAE6	intact:EBI-11740532|uniprotkb:L0T872|uniprotkb:P96382|uniprotkb:Q7D8Z8	psi-mi:il8_human(display_long)|uniprotkb:Protein 3-10C(gene name synonym)|uniprotkb:T-cell chemotactic factor(gene name synonym)|uniprotkb:CXCL8(gene name)|psi-mi:CXCL8(display_short)|uniprotkb:C-X-C motif chemokine 8(gene name synonym)|uniprotkb:Chemokine (C-X-C motif) ligand 8(gene name synonym)|uniprotkb:Emoctakin(gene name synonym)|uniprotkb:Granulocyte chemotactic protein 1(gene name synonym)|uniprotkb:IL8(gene name synonym)|uniprotkb:Monocyte-derived neutrophil chemotactic factor(gene name synonym)|uniprotkb:Monocyte-derived neutrophil-activating peptide(gene name synonym)|uniprotkb:Neutrophil-activating protein 1(gene name synonym)	psi-mi:glmu_myctu(display_long)|uniprotkb:glmU(gene name)|psi-mi:glmU(display_short)|uniprotkb:Rv1018c(locus name)	psi-mi:MI:0107(surface plasmon resonance)	Dziadek et al. (2015)	pubmed:26829648|imex:IM-26081	9606	83332	psi-mi:MI:0407(direct interaction)	psi-mi:MI:1335(HPIDb)	intact:EBI-11740623|imex:IM-26081-9	intact-miscore:0.60
entrez gene/locuslink:5599	entrez gene/locuslink:887373	biogrid:111585|entrez gene/locuslink:MAPK8	biogrid:4356823|entrez gene/locuslink:ptpA|entrez gene/locuslink:Rv2234	entrez gene/locuslink:JNK(gene name synonym)|entrez gene/locuslink:JNK-46(gene name synonym)|entrez gene/locuslink:JNK1(gene name synonym)|entrez gene/locuslink:JNK1A2(gene name synonym)|entrez gene/locuslink:JNK21B1/2(gene name synonym)|entrez gene/locuslink:PRKM8(gene name synonym)|entrez gene/locuslink:SAPK1(gene name synonym)|entrez gene/locuslink:SAPK1c(gene name synonym)	entrez gene/locuslink:MPtpA(gene name synonym)	psi-mi:MI:0004(affinity chromatography technology)	Wang J (2015)	pubmed:25642820	9606	83332	psi-mi:MI:0915(physical association)	psi-mi:MI:0463(biogrid)	biogrid:1418240	-
entrez gene/locuslink:66724	entrez gene/locuslink:887373	biogrid:211673|entrez gene/locuslink:Tab3|entrez gene/locuslink:RP23-181A7.1	biogrid:4356823|entrez gene/locuslink:ptpA|entrez gene/locuslink:Rv2234	entrez gene/locuslink:4921526G09Rik(gene name synonym)|entrez gene/locuslink:Map3k7ip3(gene name synonym)|entrez gene/locuslink:mKIAA4135(gene name synonym)	entrez gene/locuslink:MPtpA(gene name synonym)	psi-mi:MI:0018(two hybrid)	Wang J (2015)	pubmed:25642820	10090	83332	psi-mi:MI:0407(direct interaction)	psi-mi:MI:0463(biogrid)	biogrid:1418234	-
entrez gene/locuslink:7316	entrez gene/locuslink:887373	biogrid:113164|entrez gene/locuslink:UBC	biogrid:4356823|entrez gene/locuslink:ptpA|entrez gene/locuslink:Rv2234	entrez gene/locuslink:HMG20(gene name synonym)	entrez gene/locuslink:MPtpA(gene name synonym)	psi-mi:MI:0096(pull down)	Wang J (2015)	pubmed:25642820	9606	83332	psi-mi:MI:0407(direct interaction)	psi-mi:MI:0463(biogrid)	biogrid:1418230	-
